Title;Speaker;Place;Day;Time;Description
Tableau Public for beginners (Hosted by Tableau Public);Daniel Hom, Mike Klaczynski;Seneca/Iroquois;Thursday;9 a.m. - 11:50 a.m.;"Learn how to create beautiful, interactive data visualizations on short deadlines. &nbsp;No programming required. &nbsp;You'll learn everything you need to build data visualizations and publish them to your website just like a video. &nbsp;We'll teach you how to:"
Python mini-bootcamp;TBA;Kentucky Suite;Thursday;9 a.m. - 4:50 p.m.;"This mini-bootcamp introduces Python as a general purpose tool for data wrangling and analysis. &nbsp;The daylong class will introduce language basics and useful libraries in the course of a typical data project: sraping data from the Web, inserting it in a database and analyzing the results. Attendees are expected to have a familiarity with databases and SQL. This class will take place all day Thursday. There is limited seating and an additional fee to attend."
Waste investigations for any community;Tim Eberly, Erin Jordan, Josh Sweigart, Wendell Cochran;Regency Center;Thursday;10 a.m. - 10:50 a.m.;**Moderated by Wendell Cochran, Investigative Reporting Workshop
Prediction is very difficult, especially about the future;Andy Cox;Regency North;Thursday;10 a.m. - 10:50 a.m.;
Visualizing networks and connections;Irene Liu, Kevin Connor;Regency South;Thursday;10 a.m. - 10:50 a.m.;This session will cover the basic concepts of network analysis and demonstrate ways it can be used in reporting. Topics will include gathering structured data on relationships, analyzing that data and visualizing the connections between people and organizations.
Use FOIA Machine to prepare, send and track your public records requests;Coulter Jones, Shane Shifflett, Djordje Padejski, Chase Davis;Churchill Downs;Thursday;10 a.m. - 10:50 a.m.;FOIA Machine aids journalists and citizens in accessing important government documents around the world that are covered by freedom of information laws. Speakers will demonstrate how journalists can use the platform in regular work and make the FOIA process more successful and organized.
Down and dirty with the DocumentCloud API;Ted Han;Churchill Downs;Thursday;11 a.m. - 11:50 a.m.;Journalists use DocumentCloud to turn documents into data, but did you know you can interact with your documents through DocumentCloud's API? We'll show you how other journalists use DocumentCloud's API and demonstrate how you too can update or access your documents' data with some rudimentary scripting.
The data-driven story (Part 1) Conceiving and launching;David Donald, Brant Houston, Jennifer LaFleur;Regency Center;Thursday;11 a.m. - 11:50 a.m.;*Moderated by Brant Houston, University of Illinois
Demo: New Map Mashup Wizard (Hosted by Caspio);TBA;Shawnee/Cherokee;Thursday;11 a.m. - 11:50 a.m.;"Caspio's new Map Mashup Wizard (v7) automates Google map intergration in a single wizard and now includes icons and interactive filtering. &nbsp;Topics covered:"
Web tools for investigators;Mark Horvit, Jaimi Dowdell;Regency South;Thursday;11 a.m. - 11:50 a.m.;If you're like most journalists, the Web has become one of your favorite places to go for backgrounding, digging and tip seeking. Imagine how much is out there that you haven't heard about. With a careful strategy and knowing where to look you can make your time online more effective and efficient. This session will help you do all these things and point you to the latest sites you never knew you couldn't live without.
Monetizing your work;Kevin Davis, Tommy Kaas, Nils Mulvad, Reginald Chua, Burt Herman;Regency North;Thursday;11 a.m. - 11:50 a.m.;Journalists have created some amazing tools that get data, documents and other vital information to their audiences, but in many cases we haven't figured out how to make them sustainable. We'll examine the problem and talk about how to begin trying to solve it.
Demo: Sneak peek of Caspio Bridge 8.0 Beta (Hosted by Caspio);TBA;Shawnee/Cherokee;Thursday;noon - 12:30 p.m.;"
"
Hands-on: Build apps with user generated data (Hosted by Caspio);TBA;Shawnee/Cherokee;Thursday;2 p.m. - 4:30 p.m.;"For those already familiar with Caspio, this class takes your applications to the next level utilizing user-generated data. &nbsp;Topics covered:&nbsp;"
Mobile + DataViz: Friends or frenemies?;Miranda Mulligan, Pete Karl II;Regency North;Thursday;2 p.m. - 2:50 p.m.;Mobile and responsive web design are changing the way stories are told. Complicated data visualizations, which used to be planned for the desktop, now need to be planned so they can work for mobile, tablets, and desktops. Different devices mean different user-experiences for visualizations, which changes how information is consumed. We'll show some samples of successful and not-so successful data visualizations on a responsively-designed news site. We'll talk about workflow, best practices and user-interface patterns that set you up for success.
Tableau Public for Pros (Hosted by Tableau Public);Mike Klaczynski, Daniel Hom;Seneca/Iroquois;Thursday;2 p.m. - 5 p.m.;"Take your data visualization skills to the next level. &nbsp;In this class we'll push Tableau's capabilities further to create more complex visualizations. &nbsp;You'll learn how to:&nbsp;"
The data-driven story (Part 2) Putting the package together;Maud Beelman, Brant Houston;Regency Center;Thursday;2 p.m. - 2:50 p.m.;These three sessions will show how to take a data driven story from start to finish and includes long-time practitioners as speakers. Using a specific U.S. federal database the team of journalists will cover how to check a database for its flaws and omissions, analyze it and find stories out of it, add reporting and precision editing for the stories, and work to visualize the information and data not only for presentation, but also to elicit more tips and ideas from the public.
Bringing Excel to the Web with Excel 2013 and SkyDrive;Cathy Harley;Churchill Downs;Thursday;2 p.m. - 2:50 p.m.;This talk will cover how to use Excel Interactive View and Excel embedding to make your articles shine, keep people engaged with your site, with minimal effort and for free. The talk will also be showing off some of the latest features of Excel 2013 that make data analysis a snap.
Dig deeper with social tools (Sponsored by Kiplinger Program in Public Affairs Journalism/Ohio State University);Mandy Jenkins, Doug Haddix;Regency South;Thursday;2 p.m. - 2:50 p.m.;Learn new tricks and tactics with social media for backgrounding people and companies, finding experts and other sources, and using the latest geo-location tools for breaking news coverage. You'll discover new ways of using Twitter, Facebook, LinkedIn and mobile apps for reporting that give you a leg up on the competition.
Leveling up (with) your community;Burt Herman, Daniel Sinker;Regency South;Thursday;3 p.m. - 3:50 p.m.;The NICAR community has pioneered a path through the wilderness between journalism and technology. But having built a community and civilized the wilderness, it's worth talking how we continue to improve our skills as well as paving the path for others.
Practical machine learning: Tips, tricks and real-world examples for using machine learning in the newsroom;Jeff Larson, Chase Davis;Regency North;Thursday;3 p.m. - 3:50 p.m.;"Machine learning and predictive modeling are some of the hottest skills in Silicon Valley. In this panel, we'll teach you how to apply them in the newsroom. Includes examples from real-world projects, including building intelligent regular expressions with maximum entropy models; using Bayesian classifiers to filter documents; and linear and logistic regression."
The data-driven story (Part 3) Bulletproofing and presentation;Anthony DeBarros, Brant Houston, Cheryl Phillips;Regency Center;Thursday;3 p.m. - 3:50 p.m.;*Moderated by Brant Houston, University of Illinois
Wrangling Web data with Google docs - beginner course;Sean Sposito, Acton Gorton;Churchill Downs;Thursday;3 p.m. - 3:50 p.m.;Review methods for importing web data into the Google Docs platform. Learn to fetch external web data, create scripts to schedule fetches in batches and process the data. No programming skills required. Those familiar with the Microsoft Excel application will be familiar with many of the concepts. Experienced programmers can learn to develop web application proofs of concept, prototyping and fetching through API.
Hone your Fusion Tables training skills;Sree Balakrishnan;Regency Center;Thursday;4 p.m. - 7 p.m.;Format: 3-hr workshop plus optional dinner gathering. Drinks and dessert will be provided during workshop.
How government is winning the war about releasing data;Maurice Tamman, Sarah Cohen, Gail Gove, David Herzog;Regency South;Thursday;4 p.m. - 4:50 p.m.;Open government initiatives have done little to open government up to scrutiny, and officials are becoming more restrictive than ever. How can journalists fight back against unnecessary secrecy and data redactions? A data journalist, the curator of open data in Missouri and a public records attorney will discuss the troubling trends and ways they can be overcome.
"No complaints: Navigating the New American Fact Finder; improvements and updates";Erran Persley;Churchill Downs;Thursday;4 p.m. - 4:50 p.m.;The Census Bureau serves as the leading source of quality data about the nation's people and economy. Media outlets often use this data to support their news stories and articles. The American FactFinder (AFF) provides access to this data which is compiled from several censuses and surveys. This session will demonstrate how to use the tool and the improvements that are being made to make this data tool better and more user-friendly.
Demo: Sneak peek of Caspio Bridge 8.0 Beta  (Hosted by Caspio);TBA;Shawnee/Cherokee;Thursday;5 p.m. - 5:30 p.m.;Get an exclusive preview of the latest features and redesigned user interface coming up in Caspio Bridge 8.0. With a new modern look and feel, this is our most monumental product release to date.
A Night on the Town (Social Event);TBA;See printed schedule for room information;Thursday;6:30 p.m. - 8:30 p.m.;"Join your fellow CAR colleagues Thursday at Sports and Social Club for a night of competitive bowling and see which team wins the night's best score. &nbsp;Beginning at 6:30 p.m., you can grab a drink and socialize or form a team and bowl."
CAR Conference Registration (Friday);TBA;2nd Floor;Friday;8 a.m. - 5 p.m.;Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
CAR Conference Sales (Friday);TBA;2nd Floor;Friday;8 a.m. - 5 p.m.;"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
Networking breakfast for CAR mentoring program participants (Sponsored by Scripps Howard Foundation);TBA;Pimlico;Friday;8 a.m. - 8:45 a.m.;"Coffee and pastries will be served. &nbsp;This is an invitation-only event."
Bringing local Geodata to journalism: Exploring Floating Sheep and the DOLLY (Data on Local Life and You) Project;Ate Poorthuis, Matt Zook;Churchill Downs;Friday;9 a.m. - 9:50 a.m.;The academic bloggers behind FloatingSheep.org offer an overview of DOLLY: an online platform for easily exploring and visualizing the local aspect of geographic 'big' data like Twitter. We will walk through the functionality of the app as well as a number of practical examples of how DOLLY can be used to explore news events. We are still working through how we could make this academic resource more widely available and interested in working with a few members of the IRE community to apply DOLLY's potential to journalism.
Integrity checks and simple data cleaning;Joseph Kokenge;Gulfstream/Hialeah;Friday;9 a.m. - 9:50 a.m.;
Those dastardly PDFs;Charles Duncan Pardo, Jim Miller;Regency North;Friday;9 a.m. - 9:50 a.m.;So much data comes to us in .pdf form or, worse, on paper that we then need to scan. We'll offer tips, tricks and best practices to quickly crack open those dastardly files and get the data in a usable format. We'll look at some of classic methods of breaking down PDFs and we'll introduce a tool that uses XML to splice PDFs and turn them into CSVs.
Excel 1;Linda Johnson;Shawnee/Cherokee;Friday;9 a.m. - 9:50 a.m.;Performing simple calculations and sorting.
Year in CAR;Mark Horvit, Megan Luther;Regency Center;Friday;9 a.m. - 9:50 a.m.;What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time.
Mapping 1: Displaying data geographically;David Herzog, Jennifer LaFleur;Keeneland;Friday;9 a.m. - 9:50 a.m.;Displaying data geographically with ArcGIS.
Build your first News App with Django (Friday);TBA;Seneca/Iroquois;Friday;9 a.m. - 11:50 a.m.;"This mini-boot camp will walk you through the process of taking a dataset from raw data and turning it into a searchable online database using the Python language and the Django Web framework. &nbsp;Only 18 seats are available and there is an additional $70 registration fee. &nbsp;Pre-registrations are accepted on a first-come, first-served basis. &nbsp;Prospective attendees must register and fill out an application for this hands-on camp. &nbsp;Please "
Intro to SQLite;Troy Thibodeaux;Kentucky Suite;Friday;9 a.m. - 9:50 a.m.;Are you tired of standing on the sidelines while everyone else has all the fun with database queries? Tired of hoping that Access is doing what you think it's doing when you point and click? Wouldn't you rather just tell your database manager what slice of the data you want? Join us for a hassle free entry to the world of SQL, (Structured Query Language), the lingua franca of relational databases. It's surprisingly simple and surprisingly powerful -- and it works in just about any database you can name.
Legal issues, access and big data;Jon Fleischaker, David B. Smallman, Esq., Sarah Cohen;Regency South;Friday;9 a.m. - 9:50 a.m.;
The OpenElections Project: Certified election results. For everyone.;Serdar Tumgoren, Derek Willis;Churchill Downs;Friday;10 a.m. - 10:50 a.m.;We'll introduce our project to create the first comprehensive, standardized set of federal election data. This will include a demo of how to access data from the project, and how potential contributors can get involved.
Excel 2;Denise Malan;Shawnee/Cherokee;Friday;10 a.m. - 10:50 a.m.;Calculating ratios and rates.
Mapping 2: Importing and selecting data by attribute;David Herzog, Jennifer LaFleur;Keeneland;Friday;10 a.m. - 10:50 a.m.;Displaying data geographically with ArcGIS.
Introduction to text editors;Liz Lucas, Jon McClure;Gulfstream/Hialeah;Friday;10 a.m. - 10:50 a.m.;Learn how to wield powerful (and free) text editors in your quest for clean, useable data. We'll cover some of the text editors available for different operating systems and the basic tasks they can accomplish.
Data viz on a shoestring;Sharon Machlis, Kevin Hirten;Regency South;Friday;10 a.m. - 10:50 a.m.;If you've got the time but don't have the money, this session is for you. Data cleaning, mapping, charts and more - we've got 30+ free/cheap tools for data visualization and analysis. Point and clickers and coders alike will enjoy this opportunity to reacquaint themselves with the ever-evolving toolbox of the digital journalist.
NewsCamp::Data science for the perplexed. For everyone;Hadley Wickham;Regency North;Friday;10 a.m. - 10:50 a.m.;Are you perplexed, confused and bamboozled by data science? Do you feel disappointed to be a journalist and not a mighty data scientist, conqueror of databases and slayer of statistics? Do you worry about drowning in the data deluge, or falling into a data mine? Fear no more, because if you attend this session you'll learn what data science is (or at least my take on the term), what the high-level tools data scientists apply to their problems, and what skills data scientists need to learn from journalists. You don't need to know anything about data science to enjoy this session, but if you do, you will leave with some thoughts provoked.
Intro to programing in Ruby;Al Shaw;Kentucky Suite;Friday;10 a.m. - 10:50 a.m.;Ruby and the Rails web framework are used by journalists around the world to build interactives, and process and analyze data. Get familiar with programming basics in Ruby with this hands-on session.
Inspect this;Megan Luther, Janet Roberts;Regency Center;Friday;10 a.m. - 10:50 a.m.;Uncover the gold mine of inspection data. Get ideas and techniques on how to track inspectors at each level of government. Walk away with story ideas to impress your boss at home.
Is 911 a joke in your town?;Ben Poston, Ben Welsh;Regency Center;Friday;11 a.m. - 11:50 a.m.;Get up and get down with our panel to go home with a game plan to find out if your local public safety departments are arriving. We'll break down all the jargon and provide a shake-and-bake recipe for analyzing 911 response times at any American fire department or EMS shop.
CAR on the beat;Ron Nixon, Daniel Catchpole;Regency South;Friday;11 a.m. - 11:50 a.m.;You don't have to be a dedicated data-hacker to do CAR stories. Stop by to learn tips and tricks to find and turn around CAR stories while working your beat.
Excel 3;Coulter Jones;Shawnee/Cherokee;Friday;11 a.m. - 11:50 a.m.;Learn pivot tables, filtering and more.
Covert reporting using technology to cover your tracks;Paula Lavigne, Mike Tigas;Regency North;Friday;11 a.m. - 11:50 a.m.;This session will show you various tools that anyone can use to communicate securely in today's world, including (but not limited to) covert phone calls, disposable email addresses, and hidden web surfing. We'll also go over a few situations where this could be useful for you, the journalist -- reaching out to sources without revealing yourself too much, providing avenues for whistleblowers to contact you and other situations.
Intro to Javascript the right way;Jeff Larson, Al Shaw;Kentucky Suite;Friday;11 a.m. - 11:50 a.m.;
Data cleaning with text editors;Liz Lucas, Jon McClure;Gulfstream/Hialeah;Friday;11 a.m. - 11:50 a.m.;Learn how to make the most of the Find and Replace functions in text editors to clean up messy text files. We'll show you some tools (such as basic regular expressions) to help you find problems and whip your data into shape.
Smarter interactive Web projects with Google Spreadsheets and Tabletop.js;Tasneem Raja;Churchill Downs;Friday;11 a.m. - 11:50 a.m.;Death to tediously hand-crafted flat files! This killer combo offers a way to suck structured data out of Google Spreadsheets and plug it into whatever program/platform/framework you'd like, via simple javascript syntax. Ergo, the data is easily shared with every reporter, editor, fact-checker, copy editor, etc. in your newsroom, and all updates are real time.
Mapping 3: Geocoding to merge databases with addresses into maps;David Herzog, Jennifer LaFleur;Keeneland;Friday;11 a.m. - 11:50 a.m.;Learn pivot tables, filtering and more.
Media Lawyers Brown Bag;Jon Fleischaker, Monica Dias, David B. Smallman, Esq.;Regency South;Friday;noon - 1:45 p.m.;"Here's your chance for informal Q&amp;A about legal issues. Bring your ""hypotheticals"" and your own lunch. &nbsp;Beverages and dessert will be provided."
Mapping as a storytelling platform: Esri Story Maps and ArcGIS Online;Clem Henriksen;Churchill Downs;Friday;2 p.m. - 2:50 p.m.;Esri experts offer a 50-minute workshop to provide insight into how the company's new ArcGIS Online product can be maximized as a platform to enhance storytelling. Esri Story Maps and other app development tools that require no programming expertise are now available to make digital and print map generation more effective and easier to create.
Mini-Boot Camp (Friday) Team A;TBA;Seneca/Iroquois;Friday;2 p.m. - 4:50 p.m.;"Kickstart your data skills with IRE's mini boot camp. &nbsp;This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. &nbsp;IRE's current and past trainers will walk you through sorting, calculating and interviewing data. &nbsp;You'll come away with a solid base for using data analysis in your own newsroom. &nbsp;In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. &nbsp;Only 36 seats are available and there is an additional $50 registration fee. &nbsp;Pre-registrations are accepted on a first-come, first-served basis. &nbsp;Registration can be done online when you register for the conference. &nbsp;Sessions will be held Friday and Saturday afternoon and Sunday morning. &nbsp;"
"D3? R? Tableau? What&#39;s right for you?";Amanda Cox, Robert Kosara;Regency North;Friday;2 p.m. - 2:50 p.m.;When it comes to visualizing data, you know you want to be nimble in something. But what should that something be? A look - with examples - at some of the trade-offs between using a tool like Tableau versus a programming approach like D3.
Excel magic: Advanced functions for data cleaning and more;MaryJo Webster;Keeneland;Friday;2 p.m. - 2:50 p.m.;String functions, IF statements and other powerful tools for cleaning, rearranging and analyzing data that you'll wish you had learned earlier. Prerequisite: comfortable working in Excel.
Beyond the scoreboard: Using data to investigate sports;Jack Gillum, Paula Lavigne;Regency Center;Friday;2 p.m. - 2:50 p.m.;See some data-driven stories and dive into stats and analytics. We will discuss both private and public data sources and unique challenges in compiling sports data.
Twitter mechanics, strategy and apps;Doug Haddix;Gulfstream/Hialeah;Friday;2 p.m. - 2:50 p.m.;"Twitter mechanics, strategy and apps; Learn the do's and don'ts of tweeting; master Twitter lists; and explore apps of particular use in news gathering and reporting."
Getting started with open-source database manager MySQL;Alex Richards;Kentucky Suite;Friday;2 p.m. - 2:50 p.m.;Hitting a wall with Access when it comes to big data? It may be time to make the leap to the world's most popular (and free) database manager. This session will fill you in on everything you need to know.
Data on the fly: Real-time news coverage;John Keefe, Mark Wert;Regency South;Friday;2 p.m. - 2:50 p.m.;Learn how professionals combined old and new techniques when covering events from Election Day to Hurricane Sandy. We'll talk in detail about the elements and some of the code. But you needn't be a programmer to participate. We hope to help you consider a few new ideas and approaches next time you need to move fast.
Mini-Boot Camp (Friday) Team B;TBA;Shawnee/Cherokee;Friday;2 p.m. - 4:50 p.m.;*Pre-registered attendees only
From CAR to news apps and back again;Lena Groeger, Ted Mellnik, Charles Ornstein, Serdar Tumgoren, Derek Willis, Troy Thibodeaux, Sarah Cohen;Regency North;Friday;3 p.m. - 3:50 p.m.;*Moderated by Troy Thibodeaux, The Associated Press
Searching the global deep web for better data and information;Scott Swigart;Regency South;Friday;3 p.m. - 3:50 p.m.;As a competitive-intelligence professional, I use Google and a wide variety of other Web-based tools to find very specific pieces of information, answer critical questions, and dig out hard to find information on companies. Business journalists can use many of these same techniques to go beyond Google and get much more out of the Web in far less time when researching companies and individuals around the globe. In this session, you'll fill your toolbox with Web tools for your research.
Practical document mining with DocumentCloud and overview;Ted Han, Jonathan Stray;Kentucky Suite;Friday;3 p.m. - 3:50 p.m.;Tame that stack of documents! In this workshop we'll walk you through the analysis of a large set of text documents (thousands of pages) using two free tools: DocumentCloud and Overview. You'll learn how to upload, OCR, search, visualize, cluster, tag, annotate, and publish your documents.
How to serve mad traffic;Jeremy Bowers, Jacqui Maher, Scott Klein;Churchill Downs;Friday;3 p.m. - 3:50 p.m.;Or, how to suffer the slings and arrows of outrageous fortune. This session is an advanced class on hosting very high-volume news apps using Amazon's cloud infrastructure. Think election night, the thundering herd, the million horde, etc. We'll cover Varnish and CloudFront caching, static file bake-out using S3, and go over what's likely to break and how to be ready for it. Prerequisites: Familiarity with Amazon EC2 and the linux command line.
Disasters: Preparing for and digging in after the storm;Ryan McNeill, Ben Poston;Regency Center;Friday;3 p.m. - 3:50 p.m.;Find out how data can (and should) bolster your post-disaster reporting. We'll discuss important datasets and highlight work done after disasters across the country.
Using OpenRefine to clean and explore dirty data;Tom Meagher;Keeneland;Friday;3 p.m. - 3:50 p.m.;Learn to take filthy, stinking, messy data from an unhelpful government agency and transform it into something useful with the help of OpenRefine. If you often have to scrub and standardize huge spreadsheets, but you haven't delved into regular expressions, this program will change your life.
Amazon cloud basics;Scott Klein;Gulfstream/Hialeah;Friday;3 p.m. - 3:50 p.m.;Cloud servers are an amazingly flexible way to use computing resources. Servers and test benches used to take weeks to order and configure, but thanks to the cloud, you can build up arbitrarily complex farms of computers to do your bidding in a few minutes, from serving a dynamic news app to crunching through a data set to trying out a new technology on the cheap. This course will help you understand the thicket of acronyms and programs that make up Amazon's AWS system and will get you started building servers.
Lightning Talks;Derek Willis;Regency Center;Friday;4 p.m. - 4:50 p.m.;Sometimes you don't need 45 minutes to explain a useful technique or interesting resource. Join your colleagues for a session of short (5-minute) talks about doing CAR, Web development or other related topics. Anyone can suggest an idea, and the most popular talks will be given at this session. We'll provide a computer with Internet access and a projector, and the rest is up to you.
Finding the bad guys: Tricks for joining lists of people;Adam Playford, Michael LaForgia;Churchill Downs;Friday;4 p.m. - 4:50 p.m.;Identifying people who appear in two databases can give an investigation sweep and take it to the next level: think about matching camp operators and sex offenders, or felons and almost anything. But such joins are difficult and time-consuming, particularly if you have names but not dates of birth. Learn techniques to sidestep those issues by combining your favorite database software with simple scripting and some old-fashioned reporting. By the end of the session, you'll know how to match messy addresses and how to highlight promising hits based on name alone -- exactly what you need to find some bad guys and beef-up your next project.
Stats in Excel;Krista Kjellman Schmidt;Keeneland;Friday;4 p.m. - 4:50 p.m.;You don't need a fancy pants program to compute several different sorts of statistics. In this session, you'll learn how to compute basic descriptive statistics in Excel. You'll also learn how to run correlations and regressions in Excel.
Computer Science 101: How to speak the language of the people who speak computer;Brian Hamman, Anna Boiko-Weyrauch;Regency South;Friday;4 p.m. - 4:50 p.m.;This session will help you navigate the sea of terms and concepts in computer science. We'll demystify things like SQL, servers, object oriented programming, arrays, etc. We'll give it to you straight and help you understand without the icky details. We'll talk about when you should use different tools and how hard they are to learn. No question is too basic to ask.
Philip Meyer Award Reception (co-sponsored by Northwestern University Knight Lab);TBA;Regency North;Friday;5:15 p.m. - 6:30 p.m.;"Join fellow CAR attendees for the presentation of the Philip Meyer Journalism Awards at a reception Friday night with light hor d' oeuvres and a cash bar beginning at 5:15 p.m. in Regency North. &nbsp;Thanks to "
CAR Focus Group;Mark Horvit;Churchill Downs;Saturday;8:15 a.m. - 8:45 a.m.;Please join IRE staff over a cup of coffee to discuss what attracted you to the conference and what you'd like to see in future years.
CAR Conference Sales (Saturday);TBA;2nd Floor;Saturday;8:30 a.m. - 5 p.m.;"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
CAR Conference Registration (Saturday);TBA;2nd Floor;Saturday;8:30 a.m. - 5 p.m.;Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
Access 1;Peter Aldhous;Shawnee/Cherokee;Saturday;9 a.m. - 9:50 a.m.;"An introduction to Microsoft Access using SQL. &nbsp;Learn to interview your data by selecting, sorting and filtering."
SPSS 1: Introduction to SPSS;Ken McCall;Keeneland;Saturday;9 a.m. - 9:50 a.m.;Statisticians need to really understand their data (and so do you!) before they began running analyses. As a result, statistical software packages such as SPSS have many powerful tools to summarize your data. You're going to love them. We'll take a look at the structure of some Home Mortgage data, do data transformations and run crosstabs with Chi Square significance tests to look at racial discrimination in home lending. Familiarity with Excel and some database software is recommended because we've got a *lot* of ground to cover in this hour.
Making maps with Fusion Tables;Jaimi Dowdell;Gulfstream/Hialeah;Saturday;9 a.m. - 9:50 a.m.;"<!--[if gte mso 9]&gt;&lt;xml&gt; &lt;o:DocumentProperties&gt; &lt;o:Revision&gt;0&lt;/o:Revision&gt; &lt;o:TotalTime&gt;0&lt;/o:TotalTime&gt; &lt;o:Pages&gt;1&lt;/o:Pages&gt; &lt;o:Words&gt;44&lt;/o:Words&gt; &lt;o:Characters&gt;256&lt;/o:Characters&gt; &lt;o:Company&gt;University of Missouri&lt;/o:Company&gt; &lt;o:Lines&gt;2&lt;/o:Lines&gt; &lt;o:Paragraphs&gt;1&lt;/o:Paragraphs&gt; &lt;o:CharactersWithSpaces&gt;299&lt;/o:CharactersWithSpaces&gt; &lt;o:Version&gt;14.0&lt;/o:Version&gt; &lt;/o:DocumentProperties&gt; &lt;o:OfficeDocumentSettings&gt; &lt;o:RelyOnVML  /&gt; &lt;o:AllowPNG  /&gt; &lt;/o:OfficeDocumentSettings&gt; &lt;/xml&gt;&lt;![endif]-->"
How can we get the widest impact out of technology projects?;Larry Birnbaum, Rich Gordon, Ted Han;Regency North;Saturday;9 a.m. - 9:50 a.m.;*Moderated by Rich Gordon, Medill School of Journalism, Northwestern University
